{Q}Вопрос1;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос2;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос3;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос4;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос5;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос6;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос7;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос8;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос9;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос10;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос11;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос12;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос13;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос14;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос15;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос16;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос17;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос18;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос19;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
{Q}Вопрос20;{false}ответ1;{true}ответ2;{false}ответ3;{false}ответ4
